requirement_id,area,requirement,design_ref,implementation_ref,test_ref,evidence,status,uat_case
RDY-01,Readiness,Status computed from evidence (no user-picked colour),docs/adr/0003-readiness-engine.md,src/domain/readiness/engine.ts,src/domain/readiness/engine.test.ts,17 unit tests pass (pnpm test 2026-07-26),DONE,"3,4,6"
RDY-02,Readiness,Precedence DOWN>UNKNOWN>WATCH>READY,doc 01/08,src/domain/readiness/engine.ts,src/domain/readiness/engine.test.ts,"tests: DOWN wins over missing baseline & overdue",DONE,"4,6"
RDY-03,Readiness,7-day grace boundary (WATCH within / UNKNOWN beyond),doc 01/07,src/domain/readiness/engine.ts,src/domain/readiness/engine.test.ts,grace-boundary test (7d inclusive),DONE,6
RDY-04,Readiness,Every transition => immutable ReadinessSnapshot + reasons,docs/adr/0003-readiness-engine.md,prisma/schema.prisma (ReadinessSnapshot) + src/server/adapters/prisma-inspection-port.ts,src/server/services/submit-inspection.test.ts + src/server/adapters/prisma-inspection-port.itest.ts,"live local DB 2026-07-24: 1 fresh snapshot written per submit (WORKLOG)",DONE,"3,4"
RDY-05,Readiness,Critical function set (SOS button/audio/camera/network/power),doc 08,src/domain/readiness/critical-functions.ts,,no dedicated test file; exercised indirectly via engine.test.ts,PARTIAL,4
RDY-06,Readiness,Scheduled readiness recompute (quiet asset flips WATCH->UNKNOWN with no new evidence),doc 01/07,src/server/services/run-job-tick.ts + src/server/adapters/prisma-job-tick-port.ts + src/server/adapters/readiness-facts-loader.ts,src/server/services/run-job-tick.test.ts (6 tests pass),"2026-07-28: periodic recompute evaluates all active assets; persists a ReadinessSnapshot with trigger RECONCILIATION whenever status/reasons flip (e.g. grace period expiry)",DONE,6
ASSET-01,Asset,Registry EP01-EP27 with coords/QR/components/survey,doc 08,prisma/seed.ts + prisma/seed-data/sos-poles.ts,prisma/seed-data/sos-poles.test.ts,"27-pole integrity test; production dashboard renders EP01-EP27 (owner-verified 2026-07-25)",DONE,"1,11"
ASSET-02,Asset,Generic AssetType core (not SOS-hardcoded),docs/adr/0001-modular-monolith.md,prisma/schema.prisma (AssetType/Asset),,schema validated,DONE,
ASSET-03,Asset,PostGIS geography SRID4326 + server-side distance,doc 04,prisma/sql/001_enable_postgis.sql,src/domain/geo/geo.test.ts + DB-backed itests,"CI integration 41/41 (Actions run 29977349490, commit 8ae02f9)",DONE,8
ASSET-04,Asset,Soft-retire referenced master data,doc 05,prisma/schema.prisma (retiredAt),,schema only — no test,PARTIAL,
ASSET-05,Asset,QR resolves a pole to its detail page (with manual fallback),doc 04/08,src/app/today/scan/page.tsx + src/components/QrScanner.tsx + src/app/api/assets/by-qr/[token]/route.ts,src/app/api/assets/by-qr/[token]/route.itest.ts,"asset:read-gated qrToken lookup; live-verified 2026-07-25 (WORKLOG)",DONE,3
